plinth_code,project_name,hrera_project_name,rera_number,registration_number,quarter_end_date,quarter_label,total_units,sold_in_quarter_units,cumulative_sold_units,cumulative_absorption_pct,capped_at_total_units
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2024-12-31,OCT-DEC,848,0,0,0.00%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2025-03-31,JAN-MAR,848,157,157,18.51%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2025-06-30,APR-JUN,848,198,355,41.86%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2025-09-30,JUL-SEP,848,129,484,57.08%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2025-12-31,OCT-DEC,848,36,520,61.32%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2026-03-31,JAN-MAR,848,12,532,62.74%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2026-06-30,APR-JUN,848,40,572,67.45%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2024-09-30,JUL-SEP,848,0,0,0.00%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2024-12-31,OCT-DEC,848,0,0,0.00%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2025-03-31,JAN-MAR,848,157,157,18.51%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2025-06-30,APR-JUN,848,198,355,41.86%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2025-09-30,JUL-SEP,848,129,484,57.08%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2025-12-31,OCT-DEC,848,36,520,61.32%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2026-03-31,JAN-MAR,848,12,532,62.74%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2026-06-30,APR-JUN,848,40,572,67.45%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2024-09-30,JUL-SEP,848,0,0,0.00%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2024-12-31,OCT-DEC,848,0,0,0.00%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2025-03-31,JAN-MAR,848,157,157,18.51%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2025-06-30,APR-JUN,848,198,355,41.86%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2025-09-30,JUL-SEP,848,129,484,57.08%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2025-12-31,OCT-DEC,848,36,520,61.32%,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2026-03-31,JAN-MAR,848,12,532,62.74%,false
